Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Last Updated
2021-06-03,119.7509994506836,120.48725128173828,119.1415023803711,120.23049926757812,119.25144958496094,18346000,GOOG,2026-06-02 23:15:04
2021-06-04,121.1259994506836,122.69294738769531,120.88849639892578,122.58799743652344,121.58975219726562,25948000,GOOG,2026-06-02 23:15:04
2021-06-07,122.56600189208984,123.4000015258789,122.05364990234375,123.30449676513672,122.30042266845703,23850000,GOOG,2026-06-02 23:15:04
2021-06-08,123.99500274658203,124.72474670410156,123.41200256347656,124.14250183105469,123.13159942626953,25060000,GOOG,2026-06-02 23:15:04
2021-06-09,124.9749984741211,125.25,124.36650085449219,124.56999969482422,123.55561828613281,20126000,GOOG,2026-06-02 23:15:04
2021-06-10,124.70050048828125,126.16300201416016,124.69999694824219,126.08000183105469,125.05331420898438,31234000,GOOG,2026-06-02 23:15:04
2021-06-11,126.24600219726562,126.34950256347656,124.91449737548828,125.69650268554688,124.6729507446289,25240000,GOOG,2026-06-02 23:15:04
2021-06-14,125.66950225830078,126.4114990234375,125.0469970703125,126.35199737548828,125.3230972290039,22550000,GOOG,2026-06-02 23:15:04
2021-06-15,126.52200317382812,126.86199951171875,125.64849853515625,126.03299713134766,125.00670623779297,22182000,GOOG,2026-06-02 23:15:04
2021-06-16,126.24749755859375,126.52349853515625,124.14994812011719,125.69650268554688,124.6729507446289,26316000,GOOG,2026-06-02 23:15:04
2021-06-17,125.52300262451172,127.19650268554688,125.51499938964844,126.37100219726562,125.34195709228516,25756000,GOOG,2026-06-02 23:15:04
2021-06-18,125.70549774169922,126.38899993896484,124.60299682617188,125.56749725341797,124.54499053955078,53306000,GOOG,2026-06-02 23:15:04
2021-06-21,125.73999786376953,127.03675079345703,125.13424682617188,126.45500183105469,125.4252700805664,26256000,GOOG,2026-06-02 23:15:04
2021-06-22,126.44999694824219,127.2699966430664,126.02649688720703,126.99949645996094,125.96532440185547,20984000,GOOG,2026-06-02 23:15:04
2021-06-23,126.55000305175781,127.7959976196289,126.25199890136719,126.46150207519531,125.43171691894531,19694000,GOOG,2026-06-02 23:15:04
2021-06-24,127.05349731445312,127.5354995727539,126.95999908447266,127.28199768066406,126.24552917480469,18934000,GOOG,2026-06-02 23:15:04
2021-06-25,126.95700073242188,127.50499725341797,126.44400024414062,126.99500274658203,125.96086883544922,33484000,GOOG,2026-06-02 23:15:04
2021-06-28,127.0,127.33699798583984,125.97380065917969,126.81950378417969,125.78679656982422,28110000,GOOG,2026-06-02 23:15:04
2021-06-29,126.77249908447266,127.0,125.43699645996094,126.01850128173828,124.99231719970703,20950000,GOOG,2026-06-02 23:15:04
2021-06-30,125.65354919433594,125.80000305175781,124.75749969482422,125.31600189208984,124.2955322265625,24006000,GOOG,2026-06-02 23:15:04
2021-07-01,124.84974670410156,126.4625015258789,124.84974670410156,126.36849975585938,125.3394775390625,17120000,GOOG,2026-06-02 23:15:04
2021-07-02,126.8395004272461,128.84800720214844,126.76899719238281,128.718994140625,127.67082214355469,21160000,GOOG,2026-06-02 23:15:04
2021-07-06,129.44949340820312,129.88450622558594,128.40899658203125,129.77099609375,128.7142333984375,21350000,GOOG,2026-06-02 23:15:04
2021-07-07,130.34100341796875,130.639892578125,129.75999450683594,130.07749938964844,129.01824951171875,16680000,GOOG,2026-06-02 23:15:04
2021-07-08,128.25,130.03250122070312,128.0399932861328,129.177001953125,128.12510681152344,19780000,GOOG,2026-06-02 23:15:04
2021-07-09,128.9445037841797,129.84950256347656,128.94349670410156,129.57449340820312,128.51934814453125,15106000,GOOG,2026-06-02 23:15:04
