Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Last Updated
2021-06-02,38.27000045776367,39.58000183105469,37.90999984741211,39.189998626708984,38.02206039428711,12370500,SOXL,2026-06-01 23:13:29
2021-06-03,37.83000183105469,38.279998779296875,36.52000045776367,37.119998931884766,36.01374435424805,16945800,SOXL,2026-06-01 23:13:29
2021-06-04,38.08000183105469,39.9900016784668,38.04999923706055,39.7400016784668,38.5556640625,15960500,SOXL,2026-06-01 23:13:29
2021-06-07,39.2599983215332,39.439998626708984,38.150001525878906,38.90999984741211,37.750404357910156,11453800,SOXL,2026-06-01 23:13:29
2021-06-08,39.79999923706055,39.970001220703125,37.29999923706055,38.16999816894531,37.03245162963867,13475800,SOXL,2026-06-01 23:13:29
2021-06-09,38.560001373291016,38.88999938964844,37.619998931884766,37.70000076293945,36.57645797729492,11721000,SOXL,2026-06-01 23:13:29
2021-06-10,37.79999923706055,39.369998931884766,37.52000045776367,39.040000915527344,37.876522064208984,17601900,SOXL,2026-06-01 23:13:29
2021-06-11,39.04999923706055,39.4900016784668,38.56999969482422,39.4900016784668,38.3131103515625,7971500,SOXL,2026-06-01 23:13:29
2021-06-14,39.810001373291016,41.16999816894531,39.060001373291016,41.16999816894531,39.94304275512695,18513300,SOXL,2026-06-01 23:13:29
2021-06-15,40.79999923706055,41.599998474121094,39.7400016784668,40.040000915527344,38.84672546386719,13301400,SOXL,2026-06-01 23:13:29
2021-06-16,40.4900016784668,40.88999938964844,38.06999969482422,39.18000030517578,38.012351989746094,18089300,SOXL,2026-06-01 23:13:29
2021-06-17,38.689998626708984,41.16999816894531,38.650001525878906,40.310001373291016,39.10867691040039,18466200,SOXL,2026-06-01 23:13:29
2021-06-18,39.290000915527344,39.58000183105469,36.75,37.31999969482422,36.207794189453125,21346600,SOXL,2026-06-01 23:13:29
2021-06-21,37.54999923706055,38.15999984741211,36.59000015258789,38.119998931884766,36.98394775390625,12722000,SOXL,2026-06-01 23:13:29
2021-06-22,37.900001525878906,38.83000183105469,37.400001525878906,38.599998474121094,37.44962692260742,10500400,SOXL,2026-06-01 23:13:29
2021-06-23,38.599998474121094,39.630001068115234,38.599998474121094,39.04999923706055,37.886226654052734,8615400,SOXL,2026-06-01 23:13:29
2021-06-24,39.880001068115234,41.22999954223633,39.880001068115234,41.08000183105469,39.85573196411133,12716800,SOXL,2026-06-01 23:13:29
2021-06-25,41.16999816894531,41.689998626708984,40.290000915527344,40.65999984741211,39.4482421875,9244100,SOXL,2026-06-01 23:13:29
2021-06-28,41.5,44.08000183105469,41.45000076293945,43.650001525878906,42.3491325378418,18209300,SOXL,2026-06-01 23:13:29
2021-06-29,43.310001373291016,44.689998626708984,42.880001068115234,44.63999938964844,43.309635162353516,13090200,SOXL,2026-06-01 23:13:29
2021-06-30,44.369998931884766,44.72999954223633,43.66999816894531,44.540000915527344,43.21261978149414,9830900,SOXL,2026-06-01 23:13:29
2021-07-01,44.150001525878906,44.369998931884766,42.130001068115234,42.56999969482422,41.30132293701172,11578200,SOXL,2026-06-01 23:13:29
2021-07-02,43.56999969482422,43.70000076293945,42.25,43.31999969482422,42.028968811035156,10933300,SOXL,2026-06-01 23:13:29
2021-07-06,43.63999938964844,44.13999938964844,41.36000061035156,43.040000915527344,41.757320404052734,10020300,SOXL,2026-06-01 23:13:29
2021-07-07,43.79999923706055,43.90999984741211,40.689998626708984,41.2400016784668,40.01095962524414,10623800,SOXL,2026-06-01 23:13:29
2021-07-08,38.54999923706055,40.380001068115234,37.7599983215332,39.779998779296875,38.5944709777832,14764300,SOXL,2026-06-01 23:13:29
2021-07-09,40.18000030517578,41.939998626708984,39.25,41.77000045776367,40.52516174316406,9799600,SOXL,2026-06-01 23:13:29
2021-07-12,42.15999984741211,43.33000183105469,41.810001373291016,43.33000183105469,42.03868103027344,9021800,SOXL,2026-06-01 23:13:29
